question,answer
旅行代理店のツアーをキャンセルする場合、キャンセル料はいつから発生しますか？,出発日の21日前までは無料、20日～8日前は旅行代金の20%、7日～2日前は旅行代金の30%、前日は50%、当日は100%のキャンセル料が発生します。詳細は契約書面に記載しておりますのでご確認ください。
Eコマースサイトで利用できる支払い方法にはどのようなものがありますか？,クレジットカード（VISA、Mastercard、JCB、AMEX）、コンビニ払い、PayPay、Apple Pay、Google Pay、銀行振込がご利用いただけます。一部商品は代金引換にも対応しております。
SNSでアカウントが凍結された場合、解除申請はどのように行えばよいですか？,ログイン画面から［アカウントがロックされました］をクリックし、表示されたフォームに登録メールアドレスとアカウント名を入力してください。運営チームが24時間以内に審査し、解除可否についてメールでご連絡します。
デザイン事務所にロゴを発注する際、納品形式は何種類選べますか？,最終納品時にAI、PSD、PNG（背景透過）、JPGの4種類を同梱でお渡しいたします。ご要望があればSVG形式も追加でご提供可能です。
人事部へ社会保険加入手続きを依頼したい場合、何を準備すればよいですか？,雇用契約書のコピー、従業員のマイナンバー通知カードまたは個人番号カードの写し、住民票、給与支払予定表をご用意ください。これらを窓口または人事システム上でアップロードすると、当月末までに加入手続きを完了します。
カスタマーサポートで問い合わせの優先度はどう決まりますか？,障害やシステム停止など緊急度の高いお問い合わせは「クリティカル」、業務に支障が出る可能性がある場合は「ハイ」、通常の機能質問は「ミディアム」、改善要望は「ロー」として分類されます。優先度はカスタマーサポートチームが初動対応後に確定します。
美容サロンで施術後の自宅ケアについてアドバイスはありますか？,施術直後は専用トリートメントで髪を保護し、24時間以内にシャンプーは避けてください。肌施術の場合はUVケアと保湿を徹底し、1週間は刺激の強い化粧品を控えてください。
スポーツジムの年会費を途中で解約した場合、払い戻しはありますか？,会則に基づき、年間契約を途中解約された場合は未使用月分の会費を日割り計算し、銀行振込にて86営業日以内に返金いたします。ただし、入会金や登録手数料は返金対象外です。
出版社で校正後に追加修正をお願いするにはどうすればよいですか？,校正ゲラ送付後2営業日以内に修正指示をPDFにてご返信ください。それ以降のご依頼は追加費用が発生する場合がありますのでご注意ください。
NGO団体に寄付金を送金した際、受領証明書はいつ届きますか？,オンラインフォームから寄付手続き完了後、約2週間以内に郵送にて受領証明書をお届けします。年末ギリギリのご寄付の場合、翌年1月中旬以降の発送となる場合があります。
コンサルティングサービスの見積もりを依頼すると、どのくらいで提示されますか？,ヒアリングシートご提出から5営業日以内に初回見積もりをご提出いたします。必要に応じて追加ヒアリングを行う場合は、さらに3営業日程度お時間を頂戴します。
ファッションブランドで購入サイズが合わなかったため、交換はできますか？,商品到着後10日以内でタグが外れていなければ、同一商品かつ在庫があるサイズへ無料で交換可能です。交換手続きはマイページの［注文履歴］から［サイズ交換］を選択してください。
自動車ディーラーで車検予約をするにはどうすればよいですか？,Webサイトの［車検予約］ページで車検証情報と希望日時を入力し、送信してください。折り返し担当営業が3営業日以内に連絡し、最終的な予約日時を確定いたします。
航空会社のマイレージを加算する方法を教えてください。,航空券購入時に会員番号を登録していただくと自動で加算されます。万が一登録を忘れた場合は、搭乗後90日以内にウェブサイトの［マイレージ未加算申請］から搭乗券の控え画像を添付して申請してください。
ITインフラ担当ですが、ネットワーク障害が発生した場合の初動対応フローは何ですか？,障害検知からまずネットワーク監視ツールで影響範囲を特定し、必要に応じてバックアップ回線へ切り替えます。併せて障害状況を社内チャットで共有し、ベンダーへのエスカレーションは30分以内に実施します。
サイバーセキュリティポリシーのパスワード要件はどのようになっていますか？,最低12文字以上で、大文字、小文字、数字、記号の4種類を必ず組み合わせる必要があります。さらに90日ごとにパスワード変更を義務付け、過去5回分は再利用できません。
エネルギー会社の電気料金プランを変更したい場合、手続き方法は？,当社Webサイトのマイページから［料金プラン変更］を選択し、希望プランを申し込んでください。申請後、翌月検針分から新プランが適用されます。
電力会社の停電情報はどこで確認できますか？,当社Webサイトのトップページにある［停電情報］ボタンからリアルタイムマップにアクセス可能です。また、停電エリア内のお客様にはメールおよびSMSでお知らせします。
化学工業で安全データシート（SDS）を入手するにはどうすればよいですか？,弊社Webサイトの［製品情報］ページから該当化学品を選択し、［SDSダウンロード］をクリックしてください。初回アクセス時にログインが必要です。
団体旅行の参加人数を当初登録から変更するにはどうすればよいですか？,旅行出発日の30日前まではマイページの［団体管理］から参加者リストを編集できます。30日を切るとキャンセル料が発生する場合があるため、追加・削除の際はお問い合わせください。
FinTechサービスで暗号資産の取引手数料はいくらですか？,現物取引は取引金額の0.1%、レバレッジ取引は金額の0.05%がかかります。VIP会員ランクが上がると最大で0.02%まで割引が適用されます。
EdTechプラットフォームでオンライン講座を視聴する方法を教えてください。,マイページから受講中のコースを選択し、講座一覧から視聴したいレッスンの［再生］ボタンをクリックしてください。スマートフォンアプリでも同じアカウントでログインすれば視聴可能です。
医療テクノロジーサービスで遠隔診療を受けるにはどうすればよいですか？,Webサイトでアカウント登録後、診療予約ページから症状を入力し予約を確定してください。予約日時にビデオリンクが発行されるので、指定時間にアクセスするだけで診察が開始されます。
不動産テックで内見を予約するには何が必要ですか？,物件詳細ページの［内見予約］ボタンをクリックし、ご希望日時と連絡先を入力してください。3営業日以内に担当者から確定の連絡があり、鍵の受け渡し方法をご案内します。
旅行アプリでオンラインチェックイン機能を利用するにはどうすればよいですか？,旅行アプリに会員登録し、予約済みのフライトを［予約一覧］から選択後、［オンラインチェックイン］をタップしてください。搭乗券はPNG形式でダウンロードまたはWalletアプリに保存可能です。
音楽ストリーミングサービスで楽曲をオフライン再生するには？,プレイリストまたはアルバム画面の右上にある［ダウンロード］アイコンをタップすると、端末に楽曲が保存されます。ダウンロード中はWi-Fi接続を推奨し、保存容量が足りない場合は不要なデータを削除してください。
ビデオ配信プラットフォームで字幕を切り替える方法を教えてください。,再生画面右下の［設定］アイコンをクリックし、［字幕設定］から希望する言語を選択してください。字幕ファイルは自動的に読み込まれ、再生中にリアルタイムで反映されます。
SNSで第三者の投稿削除を依頼するにはどうすればよいですか？,該当投稿のURLと問題箇所を明記したうえで、運営のヘルプセンターにある「法的申し立てフォーム」から申請してください。運営が内容を確認し、削除要件に該当する場合は72時間以内に対応します。
食品加工工場で原材料表示基準に関するガイドラインはどこで確認できますか？,厚生労働省のWebサイトに掲載されている「食品表示基準」に沿って記載が必要です。弊社ではマニュアルをイントラネット上にPDFで公開していますので、社内携帯からも参照可能です。
電子機器メーカーで保証期間の延長を申し込むにはどうすればよいですか？,製品購入後1カ月以内にWebサイトの［保証期間延長申請］ページからシリアル番号を入力し、所定の延長料金をクレジットカードでお支払いください。延長は最長で購入日から3年まで可能です。
農業機器メーカーの整備点検費用はいくらかかりますか？,機種や保守契約の有無によって異なりますが、基本点検は1台あたり2万5千円からです。詳細はマイページの［保守サービス］で機種を選択するとお見積もりが表示されます。
ロボティクス製品の保守契約内容を教えてください。,年間保守契約には定期点検（年2回）、故障時の無償修理（部品・技術料込み）、電話サポートが含まれます。加えてリモートモニタリングプラン（有償）をご契約いただくと、稼働データを24時間監視いたします。
ブロックチェーンプラットフォームで独自トークンを発行する手順は？,スマートコントラクトをSolidityで作成後、テストネットで検証し、本番ネットワークへデプロイします。トークン発行にはウォレットからガス代を支払い、発行完了後にダッシュボードで管理可能です。
AIソリューション導入時の学習データ準備はどのように進めるべきですか？,まず対象業務のデータ要件を定義し、既存データの品質を評価します。次に欠損値やノイズのクリーニングを行い、アノテーション作業を外部業者と協力して実施します。
IoTプラットフォームに新しいセンサーを追加するにはどうすればよいですか？,マイページの［デバイス管理］から［新規デバイス追加］を選択し、センサーのMACアドレスと認証トークンを入力してください。追加後、自動的にデータ送信が開始され、ダッシュボードに反映されます。
デジタルマーケティングサービスでレポート閲覧権限を付与する方法は？,管理画面の［ユーザー管理］から対象アカウントを選択し、「レポート閲覧」を有効にしてください。変更後、メールで通知され、24時間以内にアクセス権が反映されます。
SEOコンサルティングでキーワード選定のポイントは何ですか？,競合サイトの流入キーワードを調査し、ボリュームと難易度が適切なものを優先します。さらに自社サイトのコンテンツと親和性が高いロングテールキーワードを組み合わせることを推奨します。
SEM広告で入札価格を設定する際の注意点は？,過度に高い入札価格は予算消化を早める可能性があり、低すぎると掲載順位が低下します。目標CPAをベースに、過去のコンバージョンデータを分析して適切な入札を設定してください。
ソフトウェア開発でリリーススケジュールを策定する際のポイントは？,各機能の開発・テスト・デプロイにかかる工数を見積もり、バッファ期間を最低1週間設けてリスクに備えます。ステークホルダーとの合意を得た上で、ガントチャートなどで可視化すると進捗管理が容易になります。
クラウドサービスでバックアップ設定を有効化する手順を教えてください。,管理画面の［バックアップ管理］から対象サーバーを選択し、バックアップ対象ディスクとスケジュール（毎日・毎週など）を指定してください。設定後、自動的にスナップショットが作成されます。
データベース障害時のデータ復旧方法は？,定期的に取得しているフルバックアップファイルをリストアし、必要に応じて差分バックアップを適用します。自動化スクリプトを用いてリストア手順を実行し、復旧完了後は整合性チェックを必ず行ってください。
ネットワーク構築でVPN接続を設定するにはどうすればよいですか？,管理画面の［VPN設定］から新規VPNトンネルを作成し、リモートゲートウェイのIPアドレスと事前共有鍵を入力してください。設定完了後、クライアント側で証明書をインポートすれば接続可能です。
DevOps導入時のCI/CDパイプライン構築手順を教えてください。,まずコードリポジトリをGitに統一し、ビルドサーバー（Jenkinsなど）に連携します。ビルド→テスト→デプロイを自動化するジョブを作成し、必要に応じてステージング環境で動作検証を行ってから本番環境へリリースします。
UX/UIデザインのワイヤーフレーム納品形式は何がありますか？,基本的にはFigmaの共有リンクまたはSketchファイル形式で納品します。クライアントの要望があればPNGやPDFの静的出力データも同梱可能です。
イベント企画で会場予約の締切日はいつですか？,会場によりますが、当社提携会場の場合は利用希望日の90日前が予約締切です。特に繁忙期は早期に満席になるため、余裕を持ってお早めにご連絡ください。
会計事務所に請求書を発行する最適なタイミングはいつですか？,月末締めで翌月10日までに請求書を発行いただくと、翌月末までにお支払いが完了します。緊急対応が必要な場合は、都度ご連絡いただければ別途対応いたします。
税務署への年末調整申告はどのように行えばよいですか？,給与支払者（会社）が従業員から扶養控除等申告書を受領後、1月末までに電子申告または郵送で税務署へ提出します。必要書類は前年分の源泉徴収票とマイナンバーが確認できる書類です。
法務部にNDA（秘密保持契約）を締結する手順を教えてください。,相手先からNDA雛形をご提供いただくか、当社標準雛形をお送りします。双方が内容を確認し、署名・捺印後にPDF形式で法務部へ提出してください。契約締結後、原本は各社で保存します。
人材紹介会社の紹介手数料体系はどのようになっていますか？,採用が決定した場合、内定者の初年度想定年収の25％（税別）を仲介手数料としていただきます。契約締結後30日以内に請求書を発行し、60日以内にお支払いください。
求人サイトに求人情報を掲載する際の掲載基準は何ですか？,応募要項が明確で、労働条件が法令に準拠していることが必須です。求人内容に誤解を招く表現やハラスメント表現が含まれている場合、掲載をお断りすることがあります。
福利厚生として健康保険組合に加入する条件は何ですか？,従業員のうち被保険者数が5人以上の法人または事業所が対象です。加入申請には被保険者名簿と賃金台帳の写しを最寄りの組合事務所へ提出してください。
チャットボットソリューションの導入費用はどのくらいですか？,基本プランは月額5万円からで、導入支援費用として初期導入費用10万円が別途かかります。オプション機能（多言語対応や音声認識など）は追加費用となり、要件次第でお見積もりいたします。
データ解析サービスで可視化レポートを納品形式は何がありますか？,PowerPointスライド（pptx）、Excelファイル（xlsx）での納品が可能です。さらにダッシュボード（Tableau、Power BI）でのリアルタイム閲覧オプションもご提供します。
バイオテクノロジー企業で試薬を調達する方法は？,社内購買システムから必要な試薬をカタログ選択し、発注申請を行ってください。承認後、納品は最短で3営業日以内となります。
再生可能エネルギーでFIT（固定価格買取制度）申請手続きはどう行いますか？,経済産業省のWebサイト上で電子申請を行い、必要書類（設備概要書、発電シミュレーション結果など）を添付してください。申請から約3カ月で審査結果が通知されます。
デジタル証券サービスで口座開設審査にはどれくらい時間がかかりますか？,必要書類がすべて揃っている場合、オンライン申請から最短で2営業日以内に審査が完了します。不備がある場合は追加確認が入り、最大で1週間程度かかることがあります。
オンラインペイメントで決済エラーが発生した場合の対応方法は？,エラーコードが表示された場合、まず表示されたコードをサポートページで確認し、対処方法（カード情報再入力や別決済方法の案内など）をお試しください。解決しない場合はカスタマーサポートへエラーコードとともにお問い合わせください。
サブスクリプションサービスの解約手続きはどのように行いますか？,マイページの［プラン管理］から［解約］を選択し、解約理由を入力してください。即時解約が可能で、解約後は次回請求日をもってサービスが停止します。
VR/ARソリューションで対応デバイス要件を教えてください。,VRはOculus Quest 2以上、ARはiOSの場合はiPhone 8以降、AndroidはAndroid 9.0以降 × RAM4GB以上が推奨されています。推奨スペックを下回るデバイスでは動作が保証できません。
業務自動化（RPA）を導入する際のフローはどうなっていますか？,①業務ヒアリング→②自動化候補選定→③詳細設計→④開発・テスト→⑤ユーザーテスト→⑥本番導入という順序で進めます。各フェーズ終了後に確認ミーティングを実施し、品質を担保します。
保育園の入園申込期限はいつまでですか？,毎年4月入園の場合、前年度10月末までが申込期限です。ただし空き状況によって追加募集が行われる場合がありますので、市区町村の最新情報をご確認ください。
介護施設でケアプラン作成にかかる費用はいくらですか？,"ケアマネジャーによるケアプラン作成費用は月額5,000円（税別）です。追加訪問や緊急対応が必要な場合は1回あたり2,000円の別途料金が発生します。"
健康食品メーカーで成分表示の義務はどのようになっていますか？,薬機法および食品表示法に基づき、主要原材料名と含有量、栄養成分表示をパッケージに記載する必要があります。さらに特定保健用食品の場合は消費者庁の許可表示も必要です。
フィットネスクラブで会員プランを変更する方法は？,会員専用Webサイトにログインし、［プラン変更］欄から希望のプランを選択してください。変更は翌月1日から適用され、追加料金または差額分の返金が発生します。
美容院でカット後のスタイル保証はありますか？,仕上がりにご満足いただけない場合、7日以内であれば無料で整え直しをいたします。ただし、最初のご来店時と同等のカット内容に限ります。
ネイルサロンの予約をキャンセルする場合のポリシーは？,予約日の48時間前までならキャンセル無料、24〜48時間前は施術料金の50%、24時間以内は100%のキャンセル料が発生します。変更の場合も同様のルールが適用されます。
カフェで持ち帰り容器を自前で用意した場合、割引は適用されますか？,環境保護促進の一環として、持ち帰り用マイ容器ご持参でドリンク代を50円割引いたします。対象商品はテイクアウト限定メニューのみとなります。
バーでドリンクを持ち込む場合、料金は発生しますか？,"ビンテージワインなどの場合に限り、1本あたり2,000円（税別）の持込料をいただきます。その他の一般的なソフトドリンクやジュースは持込無料です。"
花屋で配送エリア外の注文を受けたい場合、対応は可能ですか？,基本的には配送エリア外へのお届けはお受けできませんが、別途配送料が発生する条件で提携業者へ依頼することが可能です。詳細はお問い合わせください。
ペットショップで動物購入後の返金保証はありますか？,購入後30日以内に健康上の問題が発生した場合、獣医師診断書を提出いただければ同種同等の動物と交換または全額返金対応いたします。届け出のない返品はお受けできません。
不動産投資の分配金はどのように受け取れますか？,分配金は毎月末日締めで翌月25日に指定の銀行口座へお振込みいたします。振込手数料は当社が負担しますが、海外送金の場合は別途手数料が発生します。
保険代理店で保険金を請求する際の必要書類は何ですか？,事故報告書、被保険者の療養状況を証明する診断書、契約証券のコピーが必要です。上記を揃えたうえで提携病院で発行される診療明細書をFAXまたは郵送でご提出ください。
クラウドファンディングでプロジェクトを掲載するには審査がありますか？,掲載前にプロジェクト内容、リターン内容、資金使途などを運営チームが審査し、3営業日以内に結果をメールでお知らせします。審査通過後に掲載開始となります。
調査会社でアンケート回収率を向上させるにはどうすればよいですか？,アンケートフォームをスマートフォン最適化し、回答時間を3分以内に設定することで回収率が向上します。さらに回答者インセンティブとして抽選でギフト券を提供すると効果的です。
翻訳サービスで校正オプションを追加する場合の料金体系は？,翻訳料金の20％が追加校正料金として発生します。納期は翻訳完了後3営業日以内で、文書量により前後する場合があります。
通訳サービスでリアルタイム通訳を依頼する場合の費用目安は？,一般的なビジネス会議向け同時通訳の場合、1日あたり16万円（税別）からとなります。専門性の高い技術通訳は別途専門料金がかかり、見積もりが必要です。
通信事業者で回線工事の日程を調整するにはどうすればよいですか？,Webサイトの［工事日程調整］から希望日を入力するか、カスタマーセンターに電話でご連絡ください。工事日は申し込みから最短で5営業日後となります。
携帯電話のSIMロック解除をする方法は何ですか？,契約中のキャリアショップで店頭手続きを行うか、オンラインページからIMEI番号を入力して申し込んでください。オンラインで申請した場合、即日で解除コードが発行されます。
ゲーム開発スタジオでβ版テストに参加するにはどうすればよいですか？,公式サイトの［βテスター募集］ページから応募フォームにメールアドレスとプレイ環境（PC/コンソール/スマホ）を入力してください。選考結果はテスト開始2週間前までにメールでご連絡します。
アプリ開発会社にバグ報告をするときの手順は？,アプリ内の［設定］→［フィードバック］から問題の詳細、再現手順、スクリーンショットを添付して送信してください。受信後48時間以内に担当エンジニアが状況を確認し、進捗をメールでお知らせします。
動画制作会社で納品データ形式として対応しているものは何がありますか？,基本的にはMP4（H.264コーデック）、MOV（ProRes）、またはDNxHD形式に対応しています。特殊なコーデックが必要な場合は事前にご相談いただければ調整可能です。
写真スタジオで撮影をキャンセルする場合、キャンセル料は発生しますか？,撮影日の7日前までは無料、3～6日前は撮影料金の50%、前日以降は100%のキャンセル料が発生します。土日祝日は営業日扱いとなりますのでご注意ください。
インフルエンサーにコラボ依頼をする際の申請方法は？,公式サイトの［コラボ申請フォーム］から企業名、キャンペーン概要、希望インフルエンサー名を入力し、送信してください。審査通過後、3営業日以内に担当者より具体的なスケジュールをご案内します。
ブログに広告を掲載する際の審査基準は何ですか？,広告掲載可否はコンテンツの健全性（著作権侵害、アダルト、違法薬物など）を最優先で判断します。掲載希望の場合は［お問い合わせ］から審査申請を行い、5営業日以内に結果をご連絡します。
オンライン教育プラットフォームで講師登録する方法は？,Webサイトの［講師登録］ページからプロフィール情報と指導経験を入力し、審査用の自己紹介動画をアップロードしてください。審査通過後、メールで合否通知が届きます。
フリーランス向け会計ソフトで請求書を発行する手順は？,ダッシュボードの［請求書作成］をクリックし、クライアント情報と金額を入力します。テンプレートを選択してPDFを生成し、メール送信またはダウンロードが可能です。
美容クリニックで初診予約をキャンセルしたい場合は？,マイページの［予約管理］から該当予約を選択し、［キャンセル］ボタンをクリックしてください。キャンセル料は予約日の24時間前まで無料です。
コワーキングスペースの利用料金はどのように支払えばよいですか？,月額プランはクレジットカード決済、ドロップイン利用は現金またはクレジットカードで受付でお支払いください。利用開始日前にオンラインで支払いも可能です。
中古車販売店で試乗予約をするにはどうすればよいですか？,Webサイトの車両詳細ページにある［試乗予約］ボタンをクリックし、希望日時と担当店舗を選択して送信してください。担当スタッフから折り返し連絡があります。
ホテルの領収書を発行してもらうには？,チェックアウト時にフロントで宛名と但し書きを伝えると、その場で宛名入り領収書を発行いたします。チェックアウト後にメールでPDFを希望することも可能です。
スポーツクラブの体験入会はどのように申し込めますか？,公式サイトの［体験申し込み］フォームに必要事項を入力して送信してください。お申し込み後、3営業日以内に体験日程の確認メールが届きます。
図書館の利用カードを紛失した場合、どうすれば再発行できますか？,最寄りの図書館窓口で身分証（学生証や免許証など）を提示し、「利用カード再発行希望」とお申し出ください。再発行手数料300円がかかります。
音楽教室で楽器レンタルを利用するには？,会員登録後、レッスン予約画面で「楽器レンタル希望」にチェックを入れ、レンタル期間を指定してください。レンタル料はレッスン料と併せて請求されます。
外資系企業に応募する際の英文レジュメの書き方ポイントは？,実績を数値で示し、業務内容を箇条書きで簡潔に記載します。職歴は逆時系列にし、スキルセクションでは使用可能なツールや言語を明記してください。
オンライン決済サービスで定期支払いを設定する方法は？,管理画面の［定期支払い設定］から顧客情報と請求金額、請求頻度を入力し、決済手段を登録してください。設定完了後、指定日に自動で請求が行われます。
倉庫業で入出庫作業の締め時間は何時までですか？,当倉庫では入出庫業務の締め時間を平日18時と定めています。18時以降の入出庫依頼は翌営業日扱いとなりますのでご注意ください。
不動産仲介で契約前に重要事項説明書をどのように受け取れますか？,内見時または契約前日のいずれかで対面にて説明を行い、書面はPDFメールまたは郵送で受領いただけます。オンライン契約の場合は電子署名の前に必ずご確認ください。
フィットネスアプリでトレーニングメニューをカスタマイズする方法は？,アプリの［マイプラン］画面で目標やレベルを再設定すると、自動で推奨メニューが更新されます。手動で種目を追加したい場合は、プラン編集画面から追加可能です。
製造ラインで使用する工具の貸出手続きを知りたいです。,社内資材管理システムにログインし、工具リストから借用したい工具を選択して「貸出申請」を行ってください。承認後、倉庫担当者から受け渡し日時が通知されます。
ECサイトでギフトラッピングを指定する方法は？,購入手続きの［お届け設定］画面で「ギフトラッピングを希望する」にチェックを入れ、メッセージカード内容を入力してください。追加料金が自動で計算されます。
建築設計事務所に図面の修正を依頼する場合のフローは？,修正依頼書をPDFでメール送付し、修正箇所を赤字で指示してください。受領後5営業日以内に見積もりと修正案を提出いたします。
薬局で処方箋なしで購入できるOTC医薬品の取り扱い時間は？,当薬局ではOTC医薬品の販売は営業時間内（9:00～19:00）で対応しています。営業時間外は自動販売機に一部 OTC医薬品を設置しております。
プラントエンジニアリング会社で要望書を提出する手順は？,Webポータルの［要望書提出］フォームに、プロジェクト名、要求仕様、納期希望を入力し、関連資料を添付してください。提出後、担当営業から翌営業日に連絡があります。
音声認識APIの利用に際してAPIキーを取得するには？,デベロッパーサイトにアカウント登録後、ダッシュボードの［APIキー管理］から新規キーを発行してください。発行されたキーは利用規約を遵守した上でアプリケーションに組み込んでください。
太陽光発電システムのメンテナンス契約を更新するにはどうすればよいですか？,契約満了日の30日前に当社から契約更新案内をメールで送付します。更新をご希望の場合は、メール内のリンクからオンライン承諾を行ってください。特に手続きは不要で自動継続されるプランもございます。
介護タクシーを予約する際の注意点は何ですか？,乗降補助器具（ストレッチャーや車椅子固定設備）が必要な場合は、予約時に詳細機種と患者の状態を必ずご連絡ください。予約状況によっては対応車両の手配に時間がかかる場合があります。
化粧品ECサイトで会員ランクをアップグレードするには？,直近3か月の購入金額累計がXX円を超えると自動的にランクアップします。ランク特典は翌月1日に反映され、マイページで詳細をご確認いただけます。
出版社で電子書籍の初期設定を依頼するにはどうすればよいですか？,PDFまたはEPUBファイルとともに、書籍タイトル、著者名、ISBNを記載した申請書をメールで担当編集部へ送付してください。初期設定完了後、サンプルリンクをお送りします。
IT運用管理ツールでアラート通知のメール設定を変更する方法は？,管理画面の［通知設定］から該当アラートを選択し、送信先メールアドレスを編集してください。変更後はテストメールが自動送信され、設定が反映されたことを確認できます。
レンタルオフィスで郵便物を受け取る際の手続きは？,契約時に登記・配送先住所として登録した後、郵便物到着時に担当スタッフから通知が届きます。受取時に身分証明書を提示してサインし、お持ち帰りください。
薬事コンサルタントにGMP監査の依頼をする場合、準備すべき資料は？,製造施設のフロアレイアウト図、製造工程フローチャート、品質管理マニュアル、過去の監査報告書をPDFで提出してください。事前にヒアリングシートを送付し、内容を確認します。
旅行保険にオンラインで加入するにはどうすればよいですか？,当社Webサイトの［旅行保険申込］ページで、旅行期間や補償内容を選択し、被保険者情報を入力のうえ、クレジットカードで決済してください。完了後、申込証明書がメールで届きます。
アパレルECでセール商品の返品は可能ですか？,セール品は不良品を除き、原則として返品・交換を承っておりません。どうしても返品をご希望の場合は、事前にカスタマーサポートへご相談ください。
建設機械レンタルで納品日時を変更するには？,マイページの［レンタル管理］から対象予約を選択し、［納品日時変更］をクリックしてください。変更可能な日時は機材と配送状況によって異なりますので、最新の空き状況が表示されます。
学校給食センターに食材納入を希望する場合の登録フローは？,市区町村のWebサイトから「業者登録申請書」をダウンロードし、必要書類を添付して郵送または持参してください。登録後、定期的に納入契約の案内が届きます。
電動自転車シェアサービスで利用パスワードを忘れた際は？,アプリのログイン画面で［パスワードを忘れた場合］をタップし、登録メールアドレスを入力するとリセット用リンクが送付されます。リンクから新しいパスワードを設定してください。
洋菓子店で大量注文したい場合、何日前までに予約すればよいですか？,ホールケーキやギフトセットの大量注文は7営業日前までにオンラインまたは電話でご予約ください。商品によっては10営業日前まで必要なものもありますのでご確認ください。
介護用品通販サイトで介護保険適用商品の購入方法は？,マイページで介護保険番号を登録し、該当商品を購入する際に保険適用を選択してください。請求書発行時に自己負担割合が自動計算されます。必要書類は郵送またはFAXで後日ご提出ください。
ビルメンテナンス会社で契約前に現地調査を依頼するには？,Webサイトの［現地調査依頼］フォームに物件住所、規模、希望日時を入力し、送信してください。担当者が3営業日以内に連絡し、調査日を調整します。
ペーパーレス化で電子契約を導入する場合の手続きは？,まず契約書雛形を電子契約サービスにアップロードし、署名箇所を指定します。次に当事者のメールアドレスを登録して送信すると、相手が電子署名後に契約が成立します。契約履歴はクラウド上で保管されます。
