question,answer
公開設定にしている研修が検索結果に表示されないことがあるのはなぜですか？,研修の表示設定によっては、特定の条件下で検索結果に表示されないことがあります：
受講料の一部のみを支払った場合、残りの支払いはどのように行えばよいですか？,一部支払いの後の残額支払いは、同じ支払い方法で行う必要があります。例えば、銀行振込で一部支払いを行った場合、残額も銀行振込で支払う必要があります。システム上、一部をコンビニ払いなど別の方法で支払うことはできません。
研修会をキャンセルし、返金処理を行った場合、受講ステータスはどうなりますか？,キャンセル処理を行うと、申込結果が「キャンセル」となります。ただし、システムの仕様上、研修ステータスには「受講予定」が残りますが、研修テキストや研修受講画面へのアクセスはできなくなります。
ログイン時のポップアップ通知が表示されなくなりました。どうすれば再表示できますか？,ポップアップ通知は「今後表示しない」にチェックを入れると表示されなくなります。再度全ユーザーに表示したい場合は、管理画面 > 設定 > ポップアップ通知設定にて内容を変更して保存し直すことで再表示されるようになります。
銀行振込時に振込コードの入力を忘れた場合、どうなりますか？,振込コードを入力せずに入金した場合でも、GMO側で処理は可能ですが、特定に時間がかかる場合があります。振込コードは毎回入力するようにしてください。入金が確認されると、manaableに自動で支払情報が反映されます。
Zoom以外のツールでライブ配信研修は可能ですか？,Microsoft Teamsなど、他のツールを使用してのライブ配信研修も可能です。視聴用URLを動画URL欄に入力することで、受講生がmanaableから視聴URLにアクセスできるようになります。ただし、視聴履歴の自動取得には対応していないため、出席確認は管理者が手動で行う必要があります。
二段階認証を有効化する方法は？,マイページの「セキュリティ設定」→「二段階認証」から、Authenticatorアプリ連携またはSMS認証を選択して設定できます。バックアップコードは必ず控えてください。
登録メールアドレスを変更するには？,マイページの「アカウント設定」→「メールアドレス変更」から新しいメールを入力し、送信された確認リンクをクリックして完了してください。
アカウントを削除（退会）したい場合は？,マイページの「アカウント設定」→「アカウント削除」からパスワードを入力し、確認画面で「削除」を選択すると、すべてのデータが削除されます。
ログインセッションのタイムアウト時間を変更できますか？,管理画面の「セキュリティ設定」→「セッション管理」で、セッション有効時間（分単位）を設定できます。設定後は即時反映されます。
SAML認証（Shibboleth）連携は対応していますか？,はい。管理画面の「認証連携」→「SAML設定」からメタデータXMLをアップロードし、エンドポイントURLを設定してください。
レポートを定期的に自動送信する設定方法は？,管理画面の「レポート」→「スケジュール配信」から、対象レポートと送信先を指定し、送信頻度（毎日／毎週／毎月）を設定できます。
オフラインでの教材閲覧はできますか？,現状Webブラウザ版のみの提供でオフライン閲覧機能は未対応です。将来的にモバイルアプリで対応を予定しています。
コースコンテンツを他システムへエクスポートできますか？,SCORM 1.2形式でのエクスポートに対応しています。コース詳細ページの「エクスポート」ボタンからZIPファイルをダウンロードしてください。
受講中にコメントを残す機能はありますか？,はい。各レッスン画面右下の「コメント」アイコンをクリックし、質問やメモを投稿できます。投稿は管理者も確認可能です。
ユーザー同士のディスカッションフォーラムは使えますか？,フォーラム機能は別途オプションとして提供中です。有効化希望の場合は、サポートまでお問い合わせください。
ダークモードに切り替える方法は？,マイページ右上のプロフィールアイコンから「表示設定」→「テーマ」で「ダークモード」を選択すると切り替わります。
ユーザーのログイン履歴を確認できますか？,管理画面の「ユーザー管理」→「ログイン履歴」タブで、期間指定してログイン日時とIPアドレスを一覧表示できます。CSVエクスポートも可能です。
REST APIのレート制限はありますか？,はい。1分間あたりのリクエスト上限は120件です。上限を超えると429エラーが返りますので、バッチ処理時は間隔をあけて実行してください。
アップロードファイルのサイズ制限は？,個別ファイルは最大500MBまで対応しています。まとめてアップロードする場合、合計で最大2GBまでとなります。
受講期限の延長を申請するには？,マイページの「受講中コース」→該当コースの「延長申請」ボタンから申請フォームを送信してください。通常2営業日以内に承認結果がメールで届きます。
LDAP/Active Directory連携は可能ですか？,はい。管理画面の「認証連携」→「LDAP設定」から、サーバー情報とバインドユーザー情報を入力し、属性マッピングを設定できます。接続テストも可能です。
プラットフォームのカスタムドメインを設定できますか？,サブドメイン（例：lms.example.com）でのカスタムドメイン設定に対応しています。管理画面の「システム設定」→「ドメイン管理」でCNAMEレコードを追加し、SSL自動発行を有効化してください。
ロゴや配色などのブランディング設定はどこで行いますか？,管理画面の「ブランディング」メニューで、ヘッダー／フッターのロゴ、サイトカラー、フォントをアップロード・選択できます。変更は即時反映されます。
データ保持ポリシー（GDPR対応）の設定方法は？,管理画面の「セキュリティ設定」→「データ保持ポリシー」から、ユーザーデータ・ログの保存期間を日数単位で設定できます。期限超過データは自動で削除されます。
イベント発生時のWebhook通知は設定できますか？,管理画面の「システム設定」→「Webhook管理」で、対象イベント（ユーザー登録、コース完了など）と通知先URLを指定すると、POSTリクエストでペイロードを送信します。
通知メールのテンプレートをカスタマイズする方法は？,管理画面の「メール設定」→「テンプレート編集」から、HTML／プレーンテキストの本文と件名を自由に編集できます。変数タグで動的コンテンツを埋め込めます。
モバイルプッシュ通知に対応していますか？,iOS/Androidアプリリリース後にプッシュ通知機能を提供予定です。現在はメール通知のみですが、開発ロードマップでプッシュをサポートします。
レストランの予約はいつからできますか？,ご利用希望日の1ヶ月前の同日からご予約を承っております。お電話またはウェブサイトの予約フォームからお申し込みください。
このゲームの推奨年齢はありますか？,パッケージまたは公式サイトに記載されているCEROレーティングをご確認ください。
荷物の集荷サービスはありますか？,はい、個人のお客様向けに有料での集荷サービスを行っております。ウェブサイトまたはお電話でお申し込みください。
社内の福利厚生制度について知りたいです。,社内ポータルの人事部ページに福利厚生ガイドブックがございますので、そちらで詳細をご確認ください。
法律相談の初回相談料はいくらですか？,"初回のご相談は30分まで無料です。それ以降は30分ごとに5,000円（税別）の相談料を頂戴しております。"
NPO法人への寄付は税控除の対象になりますか？,当法人は認定NPO法人ですので、ご寄付は税制上の優遇措置（寄付金控除）の対象となります。領収書を発行いたします。
オーダーメイド製品の納期はどれくらいですか？,製品の種類や仕様、ご注文時期によって異なりますが、通常ご注文から1ヶ月半～2ヶ月程度お時間をいただいております。
今年の稲作の作付け指導はいつ頃ありますか？,地域のJA支所または農業改良普及センターにお問い合わせください。例年、春先に説明会が開催されています。
粗大ごみの収集申し込み方法を教えてください。,お住まいの自治体のウェブサイトまたはお電話で事前にお申し込みください。品目に応じた処理券の購入が必要です。
サブスクリプションサービスの解約方法を教えてください。,マイページのアカウント設定内にある「サブスクリプション管理」から解約手続きを行えます。次回更新日の前日までにお手続きください。
購入したソフトウェアのライセンスキーはどこで確認できますか？,ご購入時にお送りした確認メール、または製品パッケージ内のライセンスカードに記載されています。
健康診断の結果について質問がある場合、どこに問い合わせればよいですか？,結果票に記載されている問い合わせ窓口、または健診を受けられた医療機関に直接お問い合わせください。
オンラインコースの受講に必要なものは何ですか？,インターネットに接続されたパソコン、タブレット、またはスマートフォンが必要です。一部コースでは特定のソフトウェアが必要になる場合があります。
ATMでの1日の引き出し限度額はいくらですか？,キャッシュカードの種類やお客様の設定により異なりますが、標準では50万円までとなっております。限度額の変更は窓口またはインターネットバンキングで可能です。
航空券の予約変更は可能ですか？,ご購入いただいた航空券の種類によって変更可否や手数料が異なります。予約確認ページまたはコールセンターでご確認ください。
自治体の発行する証明書（住民票など）はオンラインで申請できますか？,一部の証明書については、マイナンバーカードを利用したオンライン申請が可能です。詳しくは自治体のウェブサイトをご確認ください。
停電した場合の復旧見込みはどこで確認できますか？,当社のウェブサイトの「停電情報」ページ、または公式SNSアカウントで最新情報をご確認いただけます。
スマートフォンの契約プランを変更したいのですが、手数料はかかりますか？,契約プラン変更に伴う手数料は原則無料ですが、変更のタイミングや内容によっては契約解除料が発生する場合がございます。
賃貸物件の内見予約はどのようにすればよいですか？,物件情報ページのお問い合わせフォーム、またはお電話にてご希望の日時をお知らせください。担当者より折り返しご連絡いたします。
車の定期点検の予約はいつからできますか？,点検時期の約1ヶ月前からご予約いただけます。お電話またはディーラーのウェブサイトからご予約ください。
レストランで食物アレルギー対応のメニューはありますか？,はい、一部メニューで対応可能です。事前にアレルギーの詳細をお知らせいただければ、可能な範囲で調整いたします。
動画配信サービスをテレビで視聴する方法は？,スマートテレビをご利用の場合はアプリをダウンロードしてください。それ以外のテレビでは、ストリーミングデバイス（Chromecast、Fire TV Stickなど）を接続することで視聴可能です。
海外への荷物の関税は誰が支払うのですか？,関税およびその他の輸入税は、原則として荷受人様のご負担となります。金額は配送先の国・地域の規定により異なります。
有給休暇の残日数を確認したいです。,社内勤怠管理システムにログインし、休暇申請のページでご確認いただけます。
遺言書の作成について相談したいのですが、費用はどのくらいかかりますか？,作成する遺言書の種類（自筆証書遺言、公正証書遺言など）や内容の複雑さによって費用は異なります。初回相談時に無料でお見積もりいたします。
ボランティア活動に参加したいのですが、どのような種類がありますか？,環境保護、地域イベントの手伝い、高齢者支援など、様々な分野のボランティアを募集しています。詳細は当団体のウェブサイトをご覧ください。
カスタムパーツの取り付けは自分でもできますか？,製品によっては専門知識や工具が必要な場合があります。取り付けマニュアルをご確認いただき、ご自身での作業が難しい場合は専門業者にご依頼ください。
農薬の安全な使用方法について教えてください。,製品ラベルに記載されている使用方法、希釈倍率、使用時期、注意事項を必ず守ってご使用ください。保護具の着用も徹底してください。
資源ごみの分別方法がよく分かりません。,お住まいの自治体から配布されている「ごみ分別ガイドブック」やウェブサイトでご確認ください。不明な場合は、自治体の環境課にお問い合わせください。
月額制サービスの支払い日を変更できますか？,申し訳ございませんが、システム上、お客様ごとのお支払い日を変更することはできません。毎月固定日のお支払いとなります。
インストールしたソフトウェアが正常に起動しません。,まずはPCの再起動をお試しください。改善しない場合は、ソフトウェアの再インストール、セキュリティソフトの設定確認、または公式サイトのトラブルシューティングをご参照ください。
紹介状なしで専門外来を受診できますか？,原則として紹介状が必要ですが、お持ちでない場合でも受診可能な場合がございます。ただし、選定療養費が別途かかることがありますので、事前にお問い合わせください。
eラーニングの進捗状況はリセットできますか？,管理者権限をお持ちの場合は、受講者の進捗リセットが可能です。受講者様ご自身でのリセットはできません。
デビットカードは利用できますか？,はい、J-Debitおよびブランドデビット（VISAデビット、Mastercardデビットなど）がご利用いただけます。
宿泊施設のチェックイン、チェックアウト時間は何時ですか？,チェックインは午後3時から、チェックアウトは午前10時までとなっております。アーリーチェックイン、レイトチェックアウトについては追加料金で承れる場合がございます。
マイナンバーカードの申請状況はどこで確認できますか？,申請時にお渡しした申請書IDを用いて、地方公共団体情報システム機構（J-LIS）の「マイナンバーカード総合サイト」でご確認いただけます。
断水する場合、事前に通知はありますか？,計画的な断水の場合は、事前にチラシの配布やウェブサイトへの掲載でお知らせいたします。緊急の場合はこの限りではありません。
国際ローミングの利用方法と料金について教えてください。,渡航前にマイページから国際ローミングサービスをお申し込みください。利用可能国・地域と料金プランは当社のウェブサイトでご確認いただけます。
中古物件の購入時にリフォームも同時に依頼できますか？,はい、提携のリフォーム会社をご紹介できます。物件のご契約と並行してリフォームプランのご相談、お見積もりが可能です。
車検の際、代車は借りられますか？,はい、事前にご予約いただければ代車をご用意いたします。ただし、台数に限りがございますので、お早めにご連絡ください。
アレルギー対応ケーキの注文は可能ですか？,卵、乳製品、小麦粉を使用しないケーキなど、アレルギーに対応した特注ケーキも承っております。詳細はお電話にてご相談ください。
ライブ配信を見逃した場合、後から視聴できますか？,イベントによっては、期間限定で見逃し配信（アーカイブ配信）を行っております。配信の有無や期間については、イベントページをご確認ください。
国際郵便で送れないものはありますか？,航空危険物、禁制品、送付先の国で輸入が禁止されているものなどは送れません。詳細は郵便局のウェブサイトや窓口でご確認ください。
育児休業の申請手続きについて教えてください。,社内規定に基づき、休業開始予定日の1ヶ月前までに人事部へ所定の申請書を提出してください。詳細は社内ポータルをご確認ください。
契約書のリーガルチェックをお願いしたいのですが、どのような情報が必要ですか？,契約書のドラフト、契約の背景や目的、特に懸念されている点などの情報をご提供いただけますと、スムーズなチェックが可能です。
災害支援のボランティアに参加するための条件はありますか？,活動内容によって異なりますが、一般的には健康であること、自己責任で行動できることなどが求められます。詳細は募集要項をご確認ください。
この部品の互換性について教えてください。,お使いの製品の型番と、ご希望の部品の型番をお知らせいただければ、互換性について確認いたします。
有機野菜の認証基準について知りたいです。,農林水産省が定める有機JAS規格に基づいています。種まきまたは植え付け前2年以上、禁止された農薬や化学肥料を使用しない圃場で栽培されることなどが基準となります。
古い家電のリサイクル方法を教えてください。,家電リサイクル法対象品目（エアコン、テレビ、冷蔵庫・冷凍庫、洗濯機・衣類乾燥機）は、購入店または自治体が指定する引取場所にて適切に処理してください。リサイクル料金が必要です。
オンラインバンキングの振込手数料はいくらですか？,当行宛の振込は無料、他行宛の振込は月3回まで無料で、4回目以降は一律110円（税込）です。
フライトが欠航になった場合、払い戻しはされますか？,航空会社都合による欠航の場合は、全額払い戻しまたは代替便への振り替えが可能です。お客様ご自身で予約サイトまたはコールセンターにてお手続きください。
パスポートの申請に必要な書類は何ですか？,一般旅券発給申請書、戸籍謄本または抄本、住民票の写し（必要な場合）、写真、本人確認書類が必要です。詳細は外務省のウェブサイトをご確認ください。
ガス漏れ警報器が作動した場合、どうすればよいですか？,まず窓を開けて換気し、火気の使用を絶対に避けてください。その後、ガス会社の緊急連絡先にご連絡ください。
携帯電話の機種変更時にデータ移行はしてもらえますか？,店頭での機種変更の場合、有料でデータ移行サービスを行っております。ご自身で移行される場合は、各メーカーの提供する移行ツールをご利用ください。
不動産売却時の仲介手数料はいくらですか？,売買価格に応じて、宅地建物取引業法で定められた上限額の範囲内で仲介手数料を申し受けます。具体的な金額はお見積もりいたします。
エンジントラブルの際、ロードサービスは利用できますか？,自動車保険に付帯しているロードサービス、またはJAFなどの会員サービスをご利用いただけます。保険証券や会員証をご確認ください。
テイクアウトの予約は可能ですか？,はい、お電話または当店のアプリからテイクアウトのご予約を承っております。受け取り希望時間をお伝えください。
電子書籍はどのデバイスで読めますか？,専用リーダーのほか、スマートフォン、タブレット、パソコンのブラウザや専用アプリでご覧いただけます。
荷物の再配達依頼はどのようにすればよいですか？,不在票に記載されている連絡先（電話またはウェブサイト）から、ご希望の再配達日時を指定してご依頼ください。
社員番号を忘れてしまった場合、どうすれば確認できますか？,所属部署の上長または人事部にお問い合わせください。セキュリティの観点から、お電話やメールでの直接のお答えは控えさせていただいております。
離婚協議書の作成サポートはお願いできますか？,はい、弁護士が離婚協議書の作成に関するご相談に応じ、内容の検討や作成代行を承ります。
NPOの活動報告書はどこで見られますか？,当NPOの公式ウェブサイト内「情報公開」のページにて、毎事業年度の活動報告書や財務諸表を公開しております。
特注家具の見積もりにはどのくらい時間がかかりますか？,ご要望の内容やデザインの複雑さにもよりますが、通常1週間から10日程度でお見積もりをご提出いたします。
今年の果物の生育状況と出荷時期の見込みを教えてください。,天候に左右されますが、例年通りであれば〇〇月頃から出荷が始まる見込みです。詳細はJAの直売所やウェブサイトでご確認ください。
バッテリーの正しい処分方法を教えてください。,小型充電式バッテリー（リチウムイオン電池など）は、お近くの家電量販店や自治体の回収協力店にお持ちください。一般ごみとして捨てないでください。
スマートフォンの画面が割れてしまいました。修理費用はどのくらいかかりますか？,機種や保証加入状況によって修理費用は異なります。店頭またはメーカーのサポートサイトでお見積もりをご確認ください。
医療費控除の申請方法について教えてください。,1年間の医療費が一定額を超えた場合、確定申告を行うことで所得控除を受けることができます。領収書を保管し、国税庁のウェブサイトで詳細をご確認ください。
ウェビナーに参加するためのURLはいつ送られてきますか？,通常、ウェビナー開催日の前日までに、ご登録いただいたメールアドレス宛に参加用URLをお送りいたします。
振込先の口座名義を間違えて振り込んでしまいました。どうすればよいですか？,至急、振込手続きを行った金融機関にご連絡ください。「組戻し」の手続きが必要になる場合がありますが、手数料がかかることや、返金されない可能性もございます。
ホテルのアメニティには何がありますか？,シャンプー、コンディショナー、ボディソープ、歯ブラシ、タオル類、ドライヤーなどをご用意しております。詳細は客室情報ページをご確認ください。
印鑑登録証明書はどこで取得できますか？,お住まいの市区町村役場または行政サービスコーナーで、印鑑登録証（カード）を提示して取得できます。
水道水が濁っている場合、どうすればよいですか？,しばらく水を流し続けても改善しない場合は、近隣で水道工事が行われているか、貯水槽に問題がある可能性があります。管轄の水道局にご連絡ください。
海外でスマートフォンを紛失した場合の対処法は？,まずはご利用の通信会社に連絡し、回線停止の手続きを行ってください。その後、現地の警察に紛失届を提出してください。
住宅ローンの事前審査に必要な書類は何ですか？,本人確認書類（運転免許証など）、収入証明書類（源泉徴収票など）、物件情報がわかる書類（パンフレットなど）が必要です。詳しくは当行のウェブサイトをご覧ください。
スタッドレスタイヤへの交換はいつ頃がおすすめですか？,お住まいの地域で初雪が観測される1ヶ月前くらいが目安です。早めの交換をおすすめします。
アレルギー表示義務のある特定原材料とは何ですか？,えび、かに、小麦、そば、卵、乳、落花生の7品目です。これらは食品表示法で表示が義務付けられています。
購入したゲームのダウンロード方法を教えてください。,ご購入後に送られてくるメールに記載のダウンロードリンクにアクセスし、画面の指示に従ってダウンロードとインストールを行ってください。
宅配ボックスがいっぱいだった場合、荷物はどうなりますか？,宅配ボックスが利用できない場合は、通常の配達と同様に不在票が投函されます。お手数ですが再配達をご依頼ください。
フレックスタイム制のコアタイムは何時から何時までですか？,当社のフレックスタイム制におけるコアタイムは、午前10時から午後3時までです。
内容証明郵便の作成方法と出し方を教えてください。,同じ内容の文書を3通作成し（1通は差出人用、1通は郵便局保管用、1通は相手方送付用）、郵便局の窓口で内容証明郵便として差し出します。書式には規定がありますのでご注意ください。
使わなくなった子供服を寄付したいのですが、どこで受け付けていますか？,一部のNPO法人やリサイクルショップ、地域の子育て支援センターなどで子供服の寄付を受け付けています。事前に受け入れ条件をご確認ください。
この機械のメンテナンス契約について詳しく知りたいです。,定期点検、消耗部品の交換、故障時の優先対応などが含まれる年間メンテナンス契約をご用意しております。詳細は営業担当までお問い合わせください。
農産物の直売所はどこにありますか？営業時間は？,当JAのウェブサイトに各直売所の所在地、連絡先、営業時間を掲載しておりますので、そちらをご確認ください。
蛍光灯や乾電池の廃棄方法について教えてください。,多くの自治体では、有害ごみまたは特定の回収日に分別して出すよう定められています。お住まいの自治体のルールに従って廃棄してください。
自動車保険の車両入替手続きはどうすればよいですか？,新しいお車の車検証をご用意の上、当社のウェブサイトのマイページまたはお電話にてお手続きください。納車日より前にご連絡をお願いいたします。
フィットネスジムの会員プランについて詳しく教えてください。,月額制のフルタイムプラン、平日昼間のみ利用可能なデイタイムプラン、都度払いのビジタープランなどがございます。詳細はウェブサイトの料金ページをご確認ください。
ペットホテルに預ける際に必要なものは何ですか？,普段食べているフード、お気に入りのおもちゃやタオル、ワクチンの接種証明書、飼い主様の身分証明書をご持参ください。
編み物教室の体験レッスンはありますか？,"はい、初心者向けの体験レッスンを随時開催しております。参加費は材料費込みで2,000円です。ウェブサイトからご予約ください。"
電動工具のレンタル期間と料金を教えてください。,最短1日からレンタル可能です。機種によって料金が異なりますので、店頭またはウェブサイトのレンタル品一覧でご確認ください。長期レンタルの場合は割引もございます。
七五三の記念写真撮影の予約はいつからできますか？,撮影希望日の3ヶ月前からご予約を承っております。特に秋のシーズンは混み合いますので、お早めのご予約をおすすめします。
結婚式の二次会の幹事代行サービスにはどのような内容が含まれますか？,会場選定、招待状作成・発送、当日の受付・司会進行、景品手配など、二次会運営に関わる業務全般をサポートいたします。プランによって内容は異なります。
ハウスクリーニングの定期サービスはありますか？,はい、月1回、2週間に1回など、お客様のご希望に合わせた定期サービスを提供しております。初回にお見積もりとプランをご提案させていただきます。
中学生向けの数学の個別指導はどのような内容ですか？,学校の授業の補習から、定期テスト対策、高校受験対策まで、生徒一人ひとりの学力と目標に合わせたカリキュラムで指導いたします。
ピアノの調律はどのくらいの頻度で行うのが理想ですか？,一般的には年に1～2回が理想的です。設置環境や使用頻度によっても異なりますので、調律師にご相談ください。
オンラインで購入した洋服のサイズが合わなかった場合、交換できますか？,はい、商品到着後7日以内で未使用（試着のみ可）の場合に限り、在庫があればサイズ交換を承ります。返送料はお客様負担となります。
予約した新刊書籍の発売日が変更になることはありますか？,出版社の都合により、まれに発売日が変更となる場合がございます。変更があった場合は、ご予約いただいたお客様へメールにてご連絡いたします。
庭の害虫駆除をお願いしたいのですが、見積もりは無料ですか？,はい、現地調査の上、無料でお見積もりいたします。害虫の種類や範囲によって料金が異なります。
引っ越し時のダンボールは提供してもらえますか？,ご契約いただいたお客様には、プランに応じて一定枚数のダンボールを無料でお渡ししております。追加分は有料となります。
人材紹介サービスに登録するのに費用はかかりますか？,求職者様のご登録は無料です。転職成功時に求人企業様から手数料をいただくシステムとなっております。
個人事業主の確定申告代行をお願いする場合、必要な書類は何ですか？,帳簿類（売上・経費の記録）、各種控除証明書（生命保険料控除証明書など）、前年の確定申告書の控えなどが必要です。詳細はご相談ください。
ヘッドスパの施術時間はどのくらいですか？,コースによって異なりますが、ショートコースで約30分、ロングコースで約60分～90分程度です。カウンセリング時間は別途となります。
保育園の一時預かりは利用できますか？,定員に空きがある場合にご利用いただけます。事前に登録と面談が必要です。利用可能日時や料金についてはお問い合わせください。
英会話レッスンの無料体験はどのような内容ですか？,レベルチェックを兼ねたミニレッスンと、スクールのシステム説明、質疑応答などを含めて約60分です。実際のレッスンの雰囲気をご体験いただけます。
ビザ申請サポートの相談はどこでできますか？,当事務所のウェブサイトから無料相談をご予約いただくか、お電話にてお問い合わせください。初回相談で必要な手続きや費用についてご説明いたします。
火災保険の保険金請求の流れを教えてください。,まず当社にご連絡いただき、事故状況をお知らせください。その後、保険金請求書類をお送りしますので、必要事項をご記入の上、関係書類とともにご返送ください。
ヨガスタジオの見学は可能ですか？,はい、営業時間内でしたらいつでもご見学いただけます。スタッフがご案内いたしますので、お気軽にお声かけください。
トリミングサロンの予約は必要ですか？,はい、当店は完全予約制となっております。お電話またはウェブサイトから事前にご予約をお願いいたします。
レザークラフトの道具はどこで揃えられますか？,当店では初心者向けのスターターキットから専門的な道具まで幅広く取り揃えております。オンラインストアでもご購入いただけます。
壁紙の張り替えをDIYでしたいのですが、初心者でもできますか？,道具の準備と手順をしっかり学べば初心者でも可能です。当店ではDIY教室も開催しておりますので、ぜひご参加ください。
証明写真の撮影にかかる時間はどのくらいですか？,撮影自体は数分で完了しますが、受付やお写真のお渡しを含めて15分～20分程度見ていただければと思います。
社内イベントの企画から運営まで全てお願いできますか？,はい、コンセプトの立案から会場手配、コンテンツ企画、当日の運営、事後アンケートまでトータルでサポート可能です。
エアコンクリーニングの作業時間はどのくらいですか？,通常タイプで1台あたり約1.5時間～2時間、お掃除機能付きの場合は2時間～3時間程度が目安です。機種や汚れ具合により変動します。
オンライン家庭教師の授業はどのように行われますか？,ビデオ通話システムを使用し、画面共有やデジタルホワイトボードを活用して双方向の授業を行います。インターネット環境とカメラ付きのデバイスが必要です。
レンタル楽器の受け取りと返却方法を教えてください。,店頭での受け渡しとなります。配送をご希望の場合は別途配送料がかかります。返却時も同様です。
このTシャツは洗濯機で洗えますか？乾燥機は使えますか？,洗濯表示をご確認ください。通常は洗濯機で洗えますが、デリケートな素材の場合は手洗い推奨です。乾燥機の使用は縮みの原因になるためお避けください。
デジタル版の雑誌はバックナンバーも読めますか？,定期購読プランにご加入いただくと、一定期間のバックナンバーも読み放題となる場合がございます。プラン詳細をご確認ください。
庭木の剪定は年に何回くらい行うのが良いですか？,樹種や目的によって異なりますが、一般的には年に1～2回（夏季剪定・冬季剪定）行うと樹形を美しく保てます。
